Date,Open,High,Low,Close,Volume
2018-01-02,86.89366051824454,87.20852138818067,86.23164456613638,87.15200805664062,13578800
2018-01-03,87.07936454041943,87.58798460512747,86.77257871464998,87.24082946777344,11901000
2018-01-04,87.93875140308357,89.29402597852923,87.8089016228458,88.4906005859375,12953700
2018-01-05,88.66913971202834,88.90448779177163,87.46805402774845,87.92251586914062,14155000
2018-01-08,87.76832950507475,88.19844607319597,87.40313163645187,88.0523681640625,12466500
2018-01-09,88.23092294471235,88.9694235788272,88.04426540024234,88.49873352050781,13292300
2018-01-10,88.8395549336896,89.83774870172113,88.77463005029209,89.4725570678711,15834500
2018-01-11,89.81339426099873,90.02439701473801,89.31024194491349,89.95135498046875,13676800
2018-01-12,90.60873740644067,91.58258610223852,89.95138365477705,91.43650817871094,18884200
2018-01-16,90.49510199661019,92.05326204327348,90.13802133074158,91.11186981201172,22703300
2018-01-17,90.80347165913889,91.94774932711674,90.3327756173504,91.6961669921875,14940300
2018-01-18,91.5095424334567,92.28862256198042,91.1118821140187,91.91531372070312,14572900
2018-01-19,92.46716005046135,92.79177211692544,91.54200203956646,91.7124252319336,18785500
2018-01-22,91.42839383905287,92.83235909358727,91.2985440488922,92.7836685180664,12475700
2018-01-23,92.248045551333,93.03524286138556,91.9883521678539,92.686279296875,12320800
2018-01-24,93.21377679042045,94.13893479218984,93.05147075878934,93.87112426757812,15904500
2018-01-25,94.17142030496866,94.27691863221384,93.39234001745582,93.89549255371094,13510000
2018-01-26,93.89548480732812,94.39864349365234,93.29494496283608,94.39864349365234,13883900
2018-01-29,94.15516111137661,95.23451415658172,94.15516111137661,94.30123901367188,11679900
2018-01-30,93.75750285387042,94.62585307027412,93.31115819943697,93.41665649414062,14279100
2018-01-31,93.8548961410463,94.67455584141331,93.45724202944533,93.87112426757812,13141400
2018-02-01,93.95227659039837,94.94235947414862,93.71693470374262,94.84497833251953,13800600
2018-02-02,94.5366039568394,94.8855675528321,92.58890030924245,92.74309539794922,16477300
2018-02-05,91.70430592356553,92.99465557478031,84.3841950245806,88.29582977294922,30097600
2018-02-06,86.71331736998918,91.28230573844621,86.51854889805321,90.9820327758789,33114800
2018-02-07,90.52758746880797,92.88105626253976,90.20296916194107,91.59882354736328,21878300
2018-02-08,91.79359592821282,91.79359592821282,87.51676240230121,87.54922485351562,27425800
2018-02-09,88.53928733521019,90.12179895774982,86.2101642748502,89.30213928222656,28188000
2018-02-12,90.21919128050283,91.48520197378183,89.32649563977631,90.68177032470703,18043300
2018-02-13,90.34092455872646,91.74489602102918,89.91892511899562,91.24173736572266,16358200
2018-02-14,91.40404209965155,93.54651409857684,91.32288907682141,93.35174560546875,15186900
2018-02-15,93.92791562794987,94.13080122791875,92.69437390443305,93.74126434326172,12130200
2018-02-16,92.96220494072358,94.19574693703507,92.92162533512487,93.06770324707031,13214300
2018-02-20,93.04335807150572,93.64389784729732,92.49150886922794,93.09204864501953,13461500
2018-02-21,93.32737996834587,95.31565645625791,93.05956947897985,93.48157501220703,14212500
2018-02-22,93.73316425645355,94.48789907345436,93.13262450481602,93.31116485595703,17070400
2018-02-23,93.57898674376166,95.26699704552547,93.57898674376166,95.20207214355469,12162500
2018-02-26,95.8756322995985,96.49240634510883,95.21016768445614,96.38690185546875,16511200
2018-02-27,96.50053883940825,96.84138526415445,95.23452810358391,95.24264526367188,17563300
2018-02-28,95.61592477712088,96.1596566960533,93.60329691226114,93.73314666748047,17735600
